                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7943,                 3.3065,                 1.0781,                0.00412,                0.91667,                0.29645,                 0.2799,                0.41772,                 3.1944,                0.80774,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                0.78767,                 2.9072,                 1.0586,                0.00479,                      1,                0.69811,                0.61614,                 0.4535,                 2.9512,                0.79188,             0.00015563,             0.00015563,             0.00015563
                      3,                  0.754,                 2.2093,                 1.0192,                0.00466,                      1,                0.77049,                 0.6986,                0.53825,                 2.7172,                0.80892,             0.00023812,             0.00023812,             0.00023812
                      4,                0.67252,                 1.6849,                0.97757,                0.28577,                      1,                0.69251,                0.61268,                0.58856,                 2.5501,                0.86579,             0.00031891,             0.00031891,             0.00031891
                      5,                0.67537,                 1.5102,                  1.004,                0.81318,                0.52438,                0.77814,                0.65885,                0.71252,                 2.5707,                0.88146,               0.000398,               0.000398,               0.000398
                      6,                0.67953,                 1.2951,                0.99337,                 0.8333,                0.62317,                0.83655,                0.72802,                0.63752,                 2.4304,                0.85535,             0.00047539,             0.00047539,             0.00047539
                      7,                0.69116,                 1.2219,                0.97223,                0.85107,                0.60245,                 0.8102,                0.72187,                0.63462,                 2.3691,                0.86398,             0.00055109,             0.00055109,             0.00055109
                      8,                0.67344,                 1.0741,                0.96407,                0.94254,                0.58617,                0.76615,                0.66085,                0.67594,                 2.0198,                0.83222,             0.00062509,             0.00062509,             0.00062509
                      9,                0.71406,                 1.1318,                0.95097,                0.86018,                0.70151,                0.91191,                0.80098,                0.68093,                 1.7984,                0.83095,             0.00069739,             0.00069739,             0.00069739
                     10,                0.66208,                0.98205,                0.96212,                0.89093,                0.74441,                0.93628,                0.79265,                0.76717,                 1.5638,                0.84269,             0.00076799,             0.00076799,             0.00076799
                     11,                0.69875,                 1.0902,                 1.0031,                0.78112,                  0.744,                 0.9775,                0.82309,                0.74653,                 1.8035,                0.84902,             0.00083689,             0.00083689,             0.00083689
                     12,                0.70329,                 1.1511,                 1.0059,                0.75504,                0.85707,                0.98917,                0.81532,                0.86893,                 1.5014,                0.93967,              0.0009041,              0.0009041,              0.0009041
                     13,                0.69177,                 1.0215,                0.97541,                0.92487,                0.74951,                0.79314,                0.69152,                0.89201,                 1.6438,                0.99843,             0.00096961,             0.00096961,             0.00096961
                     14,                0.64258,                 1.0216,                0.96851,                0.82889,                0.66071,                0.70453,                0.60812,                0.83856,                 2.1059,                0.94528,              0.0010334,              0.0010334,              0.0010334
                     15,                0.66299,                 1.0077,                0.95207,                0.81858,                 0.7011,                0.71018,                0.59198,                0.83563,                 2.0109,                 0.9219,              0.0010955,              0.0010955,              0.0010955
                     16,                0.66457,                  0.989,                 0.9864,                0.78275,                0.66897,                 0.7473,                0.65866,                0.72115,                 2.1659,                0.88743,               0.001156,               0.001156,               0.001156
                     17,                0.67293,                0.98582,                0.96193,                0.75178,                0.61262,                0.73239,                0.64901,                0.77062,                 2.3417,                0.89538,              0.0012026,              0.0012026,              0.0012026
                     18,                0.63403,                0.97494,                0.96481,                0.86548,                0.66075,                0.62964,                0.54823,                0.73487,                 2.0067,                0.88591,              0.0012026,              0.0012026,              0.0012026
                     19,                0.65134,                0.88485,                0.97756,                 0.6966,                   0.75,                0.56862,                0.51365,                0.68141,                 2.0014,                0.90039,              0.0011885,              0.0011885,              0.0011885
                     20,                0.67927,                0.95315,                 1.0157,                0.66418,                0.70238,                0.61944,                0.54103,                0.70032,                 2.1272,                0.92069,              0.0011744,              0.0011744,              0.0011744
                     21,                0.65796,                0.93553,                0.99244,                0.73416,                0.70238,                0.72053,                0.62807,                0.71075,                 2.1911,                0.91504,              0.0011602,              0.0011602,              0.0011602
                     22,                0.60059,                0.85793,                0.93665,                0.88336,                0.68912,                0.72989,                0.64843,                0.85451,                 2.1853,                0.94416,              0.0011461,              0.0011461,              0.0011461
                     23,                0.63775,                0.90139,                0.96275,                0.86607,                0.72688,                0.71669,                0.59905,                  0.838,                 2.1198,                0.93806,              0.0011319,              0.0011319,              0.0011319
                     24,                0.62878,                0.85222,                0.93748,                0.79685,                0.74232,                 0.6113,                0.52697,                0.77797,                 2.0522,                0.92609,              0.0011178,              0.0011178,              0.0011178
                     25,                0.65397,                0.89722,                0.97575,                 0.6283,                   0.75,                0.61588,                0.54773,                 0.7939,                  2.004,                 0.9362,              0.0011036,              0.0011036,              0.0011036
                     26,                0.63549,                0.83464,                0.95385,                0.90283,                   0.75,                0.74594,                0.68009,                0.74792,                 1.8395,                0.92551,              0.0010895,              0.0010895,              0.0010895
                     27,                0.64201,                0.78992,                0.96805,                0.88352,                   0.75,                0.74601,                0.67942,                0.75926,                 1.8348,                0.93828,              0.0010753,              0.0010753,              0.0010753
                     28,                 0.5922,                0.82819,                0.95828,                0.95168,                0.69516,                0.74597,                0.66756,                0.66929,                 1.6609,                0.91148,              0.0010612,              0.0010612,              0.0010612
                     29,                0.60979,                0.83446,                0.95981,                0.93483,                0.74378,                0.74573,                0.66905,                0.68124,                 1.7164,                0.92561,               0.001047,               0.001047,               0.001047
                     30,                0.68377,                0.91989,                0.98415,                 0.9195,                 0.6495,                0.72569,                0.65183,                0.77102,                 1.7349,                0.92082,              0.0010329,              0.0010329,              0.0010329
                     31,                0.63231,                0.81699,                0.95587,                0.88397,                0.70833,                0.78445,                0.66665,                0.77108,                 1.4461,                0.90927,              0.0010187,              0.0010187,              0.0010187
                     32,                 0.6365,                0.84898,                0.97136,                0.64852,                0.98572,                0.87833,                0.74743,                0.64221,                 1.0674,                0.86671,              0.0010046,              0.0010046,              0.0010046
                     33,                 0.5967,                0.85389,                0.96037,                0.71287,                0.99747,                0.87833,                0.73361,                0.65848,                 1.0131,                0.87405,             0.00099044,             0.00099044,             0.00099044
                     34,                0.60888,                0.81195,                0.95211,                0.88147,                0.83333,                0.90623,                0.72176,                0.87792,                0.97988,                0.95837,             0.00097629,             0.00097629,             0.00097629
                     35,                0.60899,                0.78854,                0.94507,                0.75848,                      1,                0.97204,                0.74555,                0.84496,                0.95414,                0.94445,             0.00096215,             0.00096215,             0.00096215
                     36,                0.60046,                0.81696,                0.93877,                0.86342,                0.95833,                0.99056,                0.76044,                0.83713,                 0.8532,                 0.9408,               0.000948,               0.000948,               0.000948
                     37,                0.61303,                0.82558,                0.94703,                0.86174,                0.94836,                0.96326,                0.78565,                0.85371,                0.89119,                0.95247,             0.00093385,             0.00093385,             0.00093385
                     38,                0.60045,                0.78797,                0.95664,                 0.9471,                 0.9408,                0.99056,                0.82683,                0.81463,                0.82547,                0.96428,              0.0009197,              0.0009197,              0.0009197
